Open,High,Low,Close,Moving Average 50
310.92,311.18,310.3,310.91,305.31
310.91,311.7,310.77,311.5,305.43
311.5,311.89,310.44,310.56,305.59
314.24,315.48,314.14,315.37,305.86
315.37,315.7,313.56,313.61,306.1
313.61,314.33,312.78,312.91,306.3
312.91,313.13,312.04,312.83,306.53
312.83,313.85,312.79,313.61,306.76
313.61,313.71,312.86,313.69,306.99
313.69,313.8,313.23,313.71,307.23
313.7,313.76,313.38,313.63,307.49
313.62,314.2,313.57,313.76,307.75
313.76,314.16,313.51,314.06,308.03
314.07,314.4,313.94,314.09,308.31
314.09,314.21,313.25,313.3,308.56
313.32,313.47,311.51,312.18,308.77
316.38,316.88,315.87,316.72,309.05
316.72,317.68,315.56,315.97,309.31
315.95,316.95,315.69,316.9,309.59
316.9,317.16,316.7,317.14,309.86
317.14,317.23,316.44,316.45,310.12
316.45,316.58,316,316.26,310.38
316.25,316.58,316.09,316.48,310.63
316.49,316.56,316.02,316.56,310.9
316.56,316.68,316.35,316.63,311.18
316.62,316.64,315.56,315.97,311.44
315.97,316.38,315.71,315.99,311.67
315.99,316.27,315.63,316.22,311.9
316.23,317.24,315.86,316.99,312.13
315.38,316.25,314.9,315.99,312.32
315.99,317.05,315.83,316.77,312.52
316.77,316.93,316.05,316.83,312.72
316.83,317.52,316.72,317.26,312.92
317.26,317.36,316.58,316.73,313.13
316.74,316.98,316.12,316.35,313.32
316.35,316.46,315.93,316.37,313.52
316.38,316.56,315.72,316.24,313.71
316.24,316.44,315.98,316.2,313.88
